question,type,option1,option2,option3,option4,correct,difficulty,category
What does HTML stand for?,single,HyperText Markup Language,HighText Machine Language,Hyperlink Text Mode Language,,A,easy,Web
Which HTTP method is used to update an existing resource?,single,GET,PUT,DELETE,POST,B,easy,Web
"Which data structure processes elements FIFO (first-in, first-out)?",single,Stack,Queue,Tree,Graph,B,medium,Data Structures
Which of these are JavaScript frameworks?,multi,React,Django,Vue,Flask,"A,C",medium,Web
Which of these are relational databases?,multi,MySQL,MongoDB,PostgreSQL,Redis,"A,C",medium,Databases
CSS stands for Cascading Style ______,fill,,,,,Sheets,easy,Web
"In Big-O notation, binary search runs in O(log ______)",fill,,,,,n,hard,Algorithms
The virtual DOM makes every re-render O(1).,truefalse,,,,,False,easy,
HTTP is stateless by design.,truefalse,,,,,True,medium,Web
What is the worst-case time complexity of quicksort?,single,O(n log n),O(n²),O(n),O(1),B,hard,Algorithms
Which algorithm finds the shortest path in a weighted graph?,single,Dijkstra's algorithm,Breadth-first search,Depth-first search,Merge sort,A,hard,Algorithms
Which of these are version control systems?,multi,Git,SVN,Mercurial,cron,"A,B,C",medium,
